캐릭터명,English_Name,캐릭터아이콘경로,희귀도,속성명리스트,무기명리스트,퍼스널리티리스트,속성_아이콘경로리스트,무기_아이콘경로리스트,방어구_아이콘경로리스트,속성장비_정보,출시일
오를레아,Orleya,04_data\images\character_art\icons\101030171_rank5_command.png,4~5★,"불, 번개",도끼,"Estrangement, Ax, Fire, Thunder",04_data/images/character_art/elements_equipment/fire_icon.png|04_data/images/character_art/elements_equipment/thunder_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\Skill_Type_8_16.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 1.png|Skill Type 8 16.png|202000003 icon.png|216000003 icon.png,2022-07-08
미르샤 AS,Milsha AS,04_data\images\character_art\icons\101040131_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\Skill_Type_8_32.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|Skill Type 8 32.png|202000004 icon.png|216000002 icon.png,2022-06-14
필로 AS,Philo AS,04_data\images\character_art\icons\101030111_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 8.png|202000003 icon.png|216000003 icon.png,2022-06-06
오토하 AS,Otoha AS,04_data\images\character_art\icons\101020041_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000002 icon.png|216000004 icon.png,2022-05-27
마유,Mayu,04_data\images\character_art\icons\101000291_rank5_command.png,5★,물,지팡이,"IDA School, Staff, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000000 icon.png|216000004 icon.png,2022-05-19
수제트 ES,Suzette ES,04_data\images\character_art\icons\101040031_s3_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|202000007 icon.png|216000002 icon.png,2022-05-19
은빛을 휘감은 번개술사,Silver Striker,04_data\images\character_art\icons\101050151_rank5_command.png,5★,"물, 번개",활,"Lost Laboratory, Machinery, Bow, Water, Thunder",04_data/images/character_art/elements_equipment/water_icon.png|04_data/images/character_art/elements_equipment/thunder_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\Skill_Type_8_16.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|Skill Type 8 16.png|202000005 icon.png|216000004 icon.png,2022-04-27
별이,Starky,04_data\images\character_art\icons\101440051_rank5_command.png,5★,결정,지팡이,"Scars of the Wheel of Time, Staff, Crystal",04_data/images/character_art/elements_equipment/crystal_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_64.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 64.png|202000000 icon.png|216000004 icon.png,2022-04-27
보라 의상의 창술사,Violet Lancer,04_data\images\character_art\icons\101040171_rank5_command.png,5★,땅,창,"Amnesia, Lost Laboratory, Lance, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000004 icon.png|216000002 icon.png,2022-04-15
플람라피스,Flammelapis,04_data\images\character_art\icons\101000271_rank5_command.png,4~5★,물,지팡이,"Clergy, Demon Sword, Glutton, Titan, Staff, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000000 icon.png|216000004 icon.png,2022-04-07
미스트레아 AS,Mistrare AS,04_data\images\character_art\icons\101050121_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\Skill_Type_8_64.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|Skill Type 8 64.png|202000005 icon.png|216000004 icon.png,2022-03-28
푸른 빛의 낫잡이,Cyan Scyther,04_data\images\character_art\icons\101030161_rank5_command.png,5★,바람,도끼,"Sweet tooth, Gourmet, Lost Laboratory, Ax, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 4.png|202000003 icon.png|216000003 icon.png,2022-03-16
빨간 외투의 화염술사,Red Clad Flam.,04_data\images\character_art\icons\101060141_rank5_command.png,5★,"불, 결정",권갑,"IDA School, Gun, Hood, Lost Laboratory, Fists, Fire, Crystal",04_data/images/character_art/elements_equipment/fire_icon.png|04_data/images/character_art/elements_equipment/crystal_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\Skill_Type_8_64.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 1.png|Skill Type 8 64.png|202000006 icon.png|216000003 icon.png,2022-02-25
제빌로 AS,Zeviro AS,04_data\images\character_art\icons\101030131_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 8.png|202000003 icon.png|216000003 icon.png,2022-02-15
검은 옷의 칼잡이,Black Clad Sw.,04_data\images\character_art\icons\101020141_rank5_command.png,5★,"땅, 그림자",도,"Lost Laboratory, Power to Rule, Katana, Earth, Shade",04_data/images/character_art/elements_equipment/earth_icon.png|04_data/images/character_art/elements_equipment/shade_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\Skill_Type_8_32.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|Skill Type 8 32.png|202000002 icon.png|216000004 icon.png,2022-02-07
에바,Eva,04_data\images\character_art\icons\101000281_rank5_command.png,4~5★ SA,"물, 결정",지팡이,"Dragon, Staff, Water, Crystal",04_data/images/character_art/elements_equipment/water_icon.png|04_data/images/character_art/elements_equipment/crystal_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\Skill_Type_8_64.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|Skill Type 8 64.png|202000000 icon.png|216000004 icon.png,2022-01-28
큐리오,Curio,04_data\images\character_art\icons\101020151_rank5_command.png,4~5★,"바람, 그림자",도,"IDA School, Sweet tooth, Bookworm, Lost Laboratory, Power to Rule, Katana, Wind, Shade",04_data/images/character_art/elements_equipment/wind_icon.png|04_data/images/character_art/elements_equipment/shade_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\Skill_Type_8_32.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|Skill Type 8 32.png|202000002 icon.png|216000004 icon.png,2022-01-19
이스카 ES,Isuka ES,04_data\images\character_art\icons\101020071_s3_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\Skill_Type_8_32.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|Skill Type 8 32.png|202000001 icon.png|216000002 icon.png,2022-01-19
히나기쿠,Daisy,04_data\images\character_art\icons\101070111_rank5_command.png,4~5★,땅,망치,"Dog lover, Purgatory, Spicy Lover, Hammer, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000007 icon.png|216000002 icon.png,2022-01-07
레비아 AS,Levia AS,04_data\images\character_art\icons\101000201_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000000 icon.png|216000004 icon.png,2021-12-17
나기 ES,Nagi ES,04_data\images\character_art\icons\101030071_s3_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\Skill_Type_8_64.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|Skill Type 8 64.png|202000000 icon.png|216000004 icon.png,2021-12-17
츠쿠요미,Harle,04_data\images\character_art\icons\101440031_rank5_command.png,4~5★,"불, 그림자",지팡이,"New Time Drift, Scars of the Wheel of Time, Staff, Fire, Shade",04_data/images/character_art/elements_equipment/fire_icon.png|04_data/images/character_art/elements_equipment/shade_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\Skill_Type_8_32.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|Skill Type 8 32.png|202000000 icon.png|216000004 icon.png,2021-12-09
키드,Kid,04_data\images\character_art\icons\101440021_rank5_command.png,4~5★,불,도,"New Radical Dreamers, Scars of the Wheel of Time, Katana, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000002 icon.png|216000004 icon.png,2021-12-09
키쿄 AS,Kikyo AS,04_data\images\character_art\icons\101030121_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 4.png|202000003 icon.png|216000003 icon.png,2021-12-09
세르주,Serge,04_data\images\character_art\icons\101440011_rank5_command.png,4~5★,,검,"New Radical Dreamers, New Time Drift, Scars of the Wheel of Time, Sword",,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 0.png|202000001 icon.png|216000002 icon.png,2021-12-09
피치카,Pizzica,04_data\images\character_art\icons\101050141_rank5_command.png,4~5★,불,활,"Minstrel, Northern, Bow, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000005 icon.png|216000004 icon.png,2021-11-17
시에라 AS,Sheila AS,04_data\images\character_art\icons\101040081_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|202000004 icon.png|216000002 icon.png,2021-11-17
하디 AS,Hardy AS,04_data\images\character_art\icons\101060131_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 1.png|202000006 icon.png|216000003 icon.png,2021-11-04
치요 AS,Chiyo AS,04_data\images\character_art\icons\101000191_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000000 icon.png|216000004 icon.png,2021-10-18
빅트 AS,Victor AS,04_data\images\character_art\icons\101020111_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\Skill_Type_8_16.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|Skill Type 8 16.png|202000002 icon.png|216000004 icon.png,2021-09-17
밍화 AS,Myunfa AS,04_data\images\character_art\icons\101070091_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000007 icon.png|216000002 icon.png,2021-09-06
가람배럴,Garambarrel,04_data\images\character_art\icons\101040161_rank5_command.png,4~5★,바람,창,"Eastern, Cursed, Titan, Lance, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000004 icon.png|216000002 icon.png,2021-08-27
네코코,Necoco,04_data\images\character_art\icons\101030151_rank5_command.png,4~5★,땅,도끼,"Cat lover, Eastern, Animal Talker, Fairy, Land of Mi, Ax, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 2.png|202000003 icon.png|216000003 icon.png,2021-08-18
츠키하 ES,Tsukiha ES,04_data\images\character_art\icons\101020081_s3_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000005 icon.png|216000004 icon.png,2021-08-18
츠바메 AS,Tsubame AS,04_data\images\character_art\icons\101060111_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 2.png|202000006 icon.png|216000003 icon.png,2021-08-06
멜로디,Melody,04_data\images\character_art\icons\101000141_rank5_command.png,4~5★,바람,지팡이,"IDA School, Estrangement, Staff, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000000 icon.png|216000004 icon.png,2021-07-27
클라르테 AS,Clarte AS,04_data\images\character_art\icons\101000261_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\Skill_Type_8_64.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|Skill Type 8 64.png|202000000 icon.png|216000004 icon.png,2021-07-15
틸릴 AS,Thillelille AS,04_data\images\character_art\icons\101010121_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\Skill_Type_8_32.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|Skill Type 8 32.png|202000001 icon.png|216000002 icon.png,2021-07-15
티라미수 AS,Tiramisu AS,04_data\images\character_art\icons\101040121_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000004 icon.png|216000002 icon.png,2021-07-06
시구레 AS,Shigure AS,04_data\images\character_art\icons\101020101_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000002 icon.png|216000004 icon.png,2021-06-17
메리나 ES,Melina ES,04_data\images\character_art\icons\101070061_s3_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\Skill_Type_8_16.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 8.png|Skill Type 8 16.png|202000006 icon.png|216000003 icon.png,2021-06-07
듀나리스 AS,Dunarith AS,04_data\images\character_art\icons\101000251_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000000 icon.png|216000004 icon.png,2021-05-26
이벨라,Ewella,04_data\images\character_art\icons\101040141_rank5_command.png,4~5★,"물, 결정",창,"Elf, Lance, Water, Crystal",04_data/images/character_art/elements_equipment/water_icon.png|04_data/images/character_art/elements_equipment/crystal_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\Skill_Type_8_64.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|Skill Type 8 64.png|202000004 icon.png|216000002 icon.png,2021-05-19
미유 AS,Miyu AS,04_data\images\character_art\icons\101010041_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|202000001 icon.png|216000002 icon.png,2021-05-11
라디카 AS,Radica AS,04_data\images\character_art\icons\101000171_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000000 icon.png|216000004 icon.png,2021-04-28
히스메나 AS,Hismena AS,04_data\images\character_art\icons\101040111_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|202000004 icon.png|216000002 icon.png,2021-04-20
미르샤,Milsha,04_data\images\character_art\icons\101040131_rank5_command.png,4~5★,"땅, 그림자",창,"Minstrel, Fishman, West, Lance, Earth, Shade",04_data/images/character_art/elements_equipment/earth_icon.png|04_data/images/character_art/elements_equipment/shade_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\Skill_Type_8_32.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|Skill Type 8 32.png|202000004 icon.png|216000002 icon.png,2021-04-09
유인 AS,Ewan AS,04_data\images\character_art\icons\101070051_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|202000007 icon.png|216000002 icon.png,2021-03-30
이루루 AS,Ilulu AS,04_data\images\character_art\icons\101030101_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 4.png|202000003 icon.png|216000003 icon.png,2021-03-22
호오즈키 AS,Hozuki AS,04_data\images\character_art\icons\101050091_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000005 icon.png|216000004 icon.png,2021-03-10
로제타 AS,Rosetta AS,04_data\images\character_art\icons\101000241_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000000 icon.png|216000004 icon.png,2021-02-10
멜리사,Melissa,04_data\images\character_art\icons\101020131_rank5_command.png,4~5★ SA,"바람, 결정",도,"Synth Human, KMS, Katana, Wind, Crystal",04_data/images/character_art/elements_equipment/wind_icon.png|04_data/images/character_art/elements_equipment/crystal_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\Skill_Type_8_64.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|Skill Type 8 64.png|202000002 icon.png|216000004 icon.png,2021-01-29
히이나,Heena,04_data\images\character_art\icons\101020121_rank5_command.png,4~5★,바람,도,"Eastern, Land of Ro, Machinery, Katana, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000002 icon.png|216000004 icon.png,2021-01-20
유키노,Yukino,04_data\images\character_art\icons\101050131_rank5_command.png,4~5★,물,활,"Eastern, Fairy, Bow, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000005 icon.png|216000004 icon.png,2021-01-12
츠키하 AS,Tsukiha AS,04_data\images\character_art\icons\101020081_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000002 icon.png|216000004 icon.png,2020-12-25
베르트랑 AS,Bertrand AS,04_data\images\character_art\icons\101040101_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000004 icon.png|216000002 icon.png,2020-12-17
클레스,Cress,04_data\images\character_art\icons\101430011_rank5_command.png,4~5★,불,검,"Concerto Artes, Tales of, Sword, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 0.png|Skill Type 8 1.png|202000001 icon.png|216000002 icon.png,2020-12-17
미라,Milla,04_data\images\character_art\icons\101430031_rank5_command.png,4~5★,물,검,"Concerto Artes, Tales of, Sword, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 0.png|Skill Type 8 8.png|202000001 icon.png|216000002 icon.png,2020-12-17
벨벳,Velvet,04_data\images\character_art\icons\101430041_rank5_command.png,4~5★,땅,검,"Concerto Artes, Tales of, Sword, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000001 icon.png|216000002 icon.png,2020-12-17
유리,Yuri,04_data\images\character_art\icons\101430021_rank5_command.png,4~5★,바람,도,"Concerto Artes, Tales of, Katana, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000002 icon.png|216000004 icon.png,2020-12-17
클라르테,Clarte,04_data\images\character_art\icons\101000261_rank5_command.png,4~5★,"땅, 결정",지팡이,"Amnesia, Geo, West, Staff, Earth, Crystal",04_data/images/character_art/elements_equipment/earth_icon.png|04_data/images/character_art/elements_equipment/crystal_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\Skill_Type_8_64.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|Skill Type 8 64.png|202000000 icon.png|216000004 icon.png,2020-11-25
